Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"I dislike the fact that it is a VC. As in fact it is more like a VO and declaring it as VC brings restrictions due to law, that could be very unfair for students. e.g. if a student fails the final exam, he has to wait a whole year before he can do the exam again, as a second chance is not allowed. i.e. it is very likely that failing the exam results in an additional semester to finish the Master. this is even more true for students from abroad which come to Klagenfurt only for a year, they have no chance to try again. ",en,negative,-0.9967774603283033
An der LV hat mir besonders gut gefallen:,- simple and understandable,en,positive,0.9994436271081213
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,With a hard work of programming i have rely learn how program a robot. ,en,negative,-0.8615138754248619
An der LV hat mir besonders gut gefallen:,the chill atmosphere,en,negative,-0.8845706954598427
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,1. The exercises that gave us the opportunity to apply and test everything and the step by step implementation.,en,positive,0.9960975609719753
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"I liked the pacing of the course - like, a little introduction into the topic and then small step by step things that needed to be implemented, and how it all converged into a bigger project by the end. And I liked how things were explained, and the grading system. ",en,positive,0.9985150597058237
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Maybe to many points on each task. At the end you only have to implement the quotation task and the search task to get a good grade without presenting the tasks or writing a report.,en,negative,-0.9958953121677041
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Basically i would say if more student participate this course it could be interesting. ,en,negative,-0.9792054360732436
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"A little bit more explanation for the final search task, e.g. how maps work.",en,negative,-0.9840547004714608
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Nothing. It was very well organised.,en,positive,0.9991089235409163
"Die Lehrperson hat den Studierenden die Gelegenheit geboten, auch während des Semesters Feedback zur Lehrveranstaltung zu geben. (Informell oder auch durch Anwendung bestimmter Methoden wie z.B. des „Blitzlichtes“ oder der „+/-/? Methode“)","I felt like I could tell the teacher if I didn''t get something, but I''m not sure if that qualifies as feedback or just general communication.",en,negative,-0.9972995015559718
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,I have learned a lot about autonomous robot programming. I have found difficulties when I was thing about algorithm for searching object in map. However more than 100 times of my try its come to success. Thanks to Dipl.Ing. Micha Rappaport . ,en,positive,0.9908602447248995
An der LV hat mir besonders gut gefallen:,"Fast alles: Das Konzept, der Ablauf, die Diversität der Gruppen, die Tandem-Gruppen, etc., etc.",de,positive,0.9597499780356884
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Die Aufgaben Dienstag- und Donnerstagabend sind mir ziemlich ""am Sender"" gegangen. Das Verlassen des ""freien, schwerelosen Raums"" und wieder zielorientiert zu arbeiten... bäh! Ich habe aber keine konkreten Verbesserungs- bzw. Änderungsvorschläge.",de,negative,-0.9733879743143916
An der LV hat mir besonders gut gefallen:,"zum teil interessante rechnungen, thema gut aufbereitet.",de,positive,0.9962411052547395
An der LV hat mir besonders gut gefallen:,Das Tutorium war sehr wichtig und gut.,de,positive,0.9274850748479366
An der LV hat mir besonders gut gefallen:,Erklärung zu Beispielen,de,negative,-0.20551639795303345
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Der Bezug auf die Fallstudie ,de,neutral,-0.0072301412001252174
An der LV hat mir besonders gut gefallen:,"gute Praxisbezug, viele Bespiele genannt um eine Vorstellungskraft zu geben, nicht nur Theorie",de,neutral,0.01450188085436821
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Beispiele (fast) nur im Tutorium erarbeitet - für Berufstätige schwierig.,de,neutral,-7.820805330993608e-05
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"extrem viel Lernstoff - sehr viele Details, sollte erst in weiteren LV vertieft werden und erstmal nur mal einen bereiten Überblick geben",de,negative,-0.9916900738608092
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Im Tutorium wurden nur sehr wenige Beispiele vorgerechnet und daher war es nicht sehr hilfreich. Wenn ein Tutorium angeboten wird, erwarte ich mir, dass alle Beispiele aus dem Skript durchgerechnet und erklärt werden..",de,negative,-0.993512962013483
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,DIe Lösungen von Rechenbeispielen geben.,de,neutral,-0.00040340053965337574
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,witzlos die lösungen zu den rechenaufgaben nicht online zu stellen.,de,negative,-0.9986084998236038
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Es wird sehr unverständlich und langweilig vorgetragen. bei den Rechenbeispielen kommt man schlecht mit bzw. werden diese so gut wie nicht erklärt. Das Tutorium war auch schlecht, Rechnungen wurden lediglich motivationslos an die Tafel geschrieben ohne wirklichen Vortrag. Es wurden nicht alle Beispiele durchgemacht.",de,negative,-0.999273281544447
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Herr Professor Reiner hat ausdrücklich gesagt er rechnet nichts in der LV +alle relevanten Rechnungen werden im Tutorium gerechnet. Wie sich bei der Prüfung herausstellte war dem nicht so. Finde ich persönlich nicht sehr fair.,de,negative,-0.9514366262592375
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,schwierige Thematiken,de,negative,-0.9364709351211786
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
"Die Lehrperson hat den Studierenden die Gelegenheit geboten, auch während des Semesters Feedback zur Lehrveranstaltung zu geben. (Informell oder auch durch Anwendung bestimmter Methoden wie z.B. des „Blitzlichtes“ oder der „+/-/? Methode“)",Informell auf jeden Fall möglich,de,positive,0.9941501866560429
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,der schwierigkeitsgrad der klausuren sollte nochmal überdenkt geben jedoch sonst echt eine tolle VO!,de,positive,0.9724204763770103
An der LV hat mir besonders gut gefallen:,"Aufbau der LV, Auflockerung durch Beispiele",de,neutral,-3.216834920749534e-05
An der LV hat mir besonders gut gefallen:,LV Leiter mit hoher Berufserfahrung und dementsprechend guten Zugang zur Praxis.,de,positive,0.5441729500889778
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,+ praktischer Bezug im 2. Teil,de,positive,0.9523447006940842
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die Splittend und die geblockten Termine finde ich gut. dann kann man sich intensiv mit dem Thema beschäftigen ,de,positive,0.9338348042219877
An der LV hat mir besonders gut gefallen:,Selbständige Erarbeitung von bestimmten Themen (Präsentationen),de,neutral,-0.0004968377761542797
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Es war von Anfang an klar um was es in den Einheiten gehen wird. Es gab keine negativen Überraschungen. Die Inhalte wurden sehr gut Kommuiziert. Wichtige Punkte der Themen wurden genauer besprochen.,de,positive,0.9792442657053471
An der LV hat mir besonders gut gefallen:,"Herr Tcharnetskys Teil des Kurses habe ich persönlich als sehr gut empfunden. Es war mehr ein spielerisches Lernen (Videos, Diskussion). Erklärungen sind gut und die Verknüpfung zur Praxis erleichtern die Vorstellung vieler Thematiken.",de,positive,0.9453079421073198
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Wichtig wenn man in so einen kleinen Raum ist ist, mehr zu lüften!",de,negative,-0.8257095590233803
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Der Teil des Procurement könnte man evtl. verallgemeinern --> insofern das die Unterlagen (Präsentationen) anonymisiert werden und dadruch auch den Studenten zugänglich gemacht werden. Für ""kurze"" Zeit kann man sich zwar einiges doch merken, doch wäre es sehr gut wenn man auch zu den wichtigen Punkten Folien hätte und diese nicht aus Firmenpolitiksgründen zurückgehalten werden müssen.",de,positive,0.8615017309784889
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,- mehr Informationen zu den Kriterien der Präsentation,de,neutral,-0.040014819242060184
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Die auszuarbeitenden Referate,",de,negative,-0.8406375721096992
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Der Frontalvortrag von Herrn Wurzer war teilweise sehr trocken aufgrund des vielen Inputs. Hier wäre es besser, mehr spielerisch zu arbeiten. Die Videos waren schon einmal ein guter Ansatz. Bitte weiter in diese Richtung arbeiten!",de,positive,0.8984897881746292
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,gleich von Anfang an den Prüfungstermin bekannt geben (incl. Ersatztermin),de,neutral,-5.037421942688525e-06
,,unknown,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Es werden die wesentlichen Bestandteile nachgefragt,de,neutral,-1.4270594874687959e-05
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,-,unknown,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Beim Individuellen Fragenkatalog zur Lehrperson steht für mich nicht erkenntlich ob 1 oder 7 gut ist?,de,neutral,-0.05129274073988199
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,/,unknown,not analyzed,
Wie hoch schätzen Sie den Nutzen aus dem Theorie- und Praxisinput dieser LV für Ihre berufliche Tätigkeit bzw. zukünftige Berufsfindung ein?,Ich finde die Verbindung von Theorie und Praxis sehr wichtig und das wurde hier vor allem im 2. Teil unglaublich gut umgesetzt! Es sollte häufiger solche LVs geben! ,de,positive,0.9985225778073072
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,Ja,id,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,ja,fi,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,"Nicht wirklich ein anderes Bild. Oberflächlich wusste ich bereits einiges über den Einkauf, doch wie es in dieser LV behandelt wurde war sehr gut um das oberflächliche Wissen extrem zu vertiefen.",de,negative,-0.9844772461801767
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,"Es war sehr Vorteilhaft die Erklärungen von einem ""Mann vom Fach"" zu bekommen. Ich kann mir nun sichrlich besser vorstellen, was mich als Einkäufer erwarten würde. Ich finde es auch sehr gut, dass Herr Tcharnetsky seine persönlichen Erfahrungen miteingebracht hat und mehr oder weniger von persönlichen Fällen erzählt hat. ",de,positive,0.9333788268268108
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,Generellen Überblick über den Aufgabenbereich eines Einkäufers erhaltn.,de,neutral,-1.1866239219671115e-05
,,unknown,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,JA,id,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,"Ja, es hat mir viel über den Einkauf gezeigt und vor allem wie viel Verantwortung Einkäufer tragen. Es war sehr interessant so einen direkten Einblick in das Berufsfeld eines Einkäufers zu bekommen.",de,positive,0.9627970792353153
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Einkauf erhalten?,"nein, das Bild des Einkäufers bzw. dessen Tätigkeiten waren mir bekannt",de,negative,-0.9680155217647552
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,"Auf alle Fälle ja, da man im Vornherein den Begriff Logistik nicht automatisch mit Einkaufen in Verbindung bringen würde. ",de,neutral,-0.01829408761113882
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,Ja,id,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,nein,de,negative,-0.9723985036835074
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,"Ja. Mir wurde bewusst, dass das Logistikthema sehr umfangreich ist und es viel Organisation und Bedacht fordert.",de,neutral,-0.00011138166883029044
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,JA,id,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,"""-""",unknown,not analyzed,
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,"Auch nicht wirklich, im Grunde kann ich bei dieser Frage die gleiche Antwort geben wie bei der zuvor. Oberflächliches Wissen durch sehr gute Vorträge und Beispiele extrem vertieft/verfeinert.",de,negative,-0.991872038692236
Haben Sie durch die LV ein anderes Bild von einer Tätigkeit im Logistikbereich erhalten?,ja ,fi,not analyzed,
Auf welche Inhalte sollte Ihrer Meinung nach in den Input-Teilen Logistikmanagement (LM) und Beschaffungsmanagement (BM) der Fokus zukünftig etwas stärker (+) oder weniger stark (-) gelegt werden?,/,unknown,not analyzed,
Auf welche Inhalte sollte Ihrer Meinung nach in den Input-Teilen Logistikmanagement (LM) und Beschaffungsmanagement (BM) der Fokus zukünftig etwas stärker (+) oder weniger stark (-) gelegt werden?,Ich persönlicher finde die Bereiche Innovation und Lieferanten viel interessanter als bspw versch. Lagertypen. Das könnte aber auch vom Vortrag abhängig gewesen sein.,de,neutral,0.011057397117838264
Auf welche Inhalte sollte Ihrer Meinung nach in den Input-Teilen Logistikmanagement (LM) und Beschaffungsmanagement (BM) der Fokus zukünftig etwas stärker (+) oder weniger stark (-) gelegt werden?,LM:,ca,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Auf welche Inhalte sollte Ihrer Meinung nach in den Input-Teilen Logistikmanagement (LM) und Beschaffungsmanagement (BM) der Fokus zukünftig etwas stärker (+) oder weniger stark (-) gelegt werden?,"Ich würde an der LV nichts ändern wollen. Die LV wurde sehr informativ, praxisbezogen und interessant gestaltet.",de,neutral,0.27160926908254623
Auf welche Inhalte sollte Ihrer Meinung nach in den Input-Teilen Logistikmanagement (LM) und Beschaffungsmanagement (BM) der Fokus zukünftig etwas stärker (+) oder weniger stark (-) gelegt werden?,Body language -,tl,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Auf welche Inhalte sollte Ihrer Meinung nach in den Input-Teilen Logistikmanagement (LM) und Beschaffungsmanagement (BM) der Fokus zukünftig etwas stärker (+) oder weniger stark (-) gelegt werden?,Videos von den verschiedensten Firmen waren sehr interessant. Haben sich alle gut gemerkt.,de,positive,0.9960647143889219
,,unknown,not analyzed,
Ihr persönlicher Kommentar an den/die LV-Leiter:,"Es war wirklich eine sehr interessante LV die Phasenweise aber extrem an die Substanz gegangen ist durch die vorallem im Beschaffungsmanagement extrem lange Zeit in der durchgehend Input gegeben wurde. Ich persönlich konnte wirklich sehr viel aus dieser LV mitnehmen (aus beiden Bereichen) und würde zukünftigen Studenten jederzeit diesen Kurs weiterempfehlen, weil spätestens nach dieser LV kann man sich eine Zukunft in diesen Bereichen definitiv vorstellen.",de,positive,0.9523730576038361
Ihr persönlicher Kommentar an den/die LV-Leiter:,Bitte so wie bisher weitermachen. Ich habe sehr viel mitgenommen. Beide Lehrbeauftragten konnten immer auf Fragen der Studenten antworten. ,de,positive,0.9929199379403144
Ihr persönlicher Kommentar an den/die LV-Leiter:,"Super, bitte machen Sie weiter so! :)",de,positive,0.9348978847265244
Ihr persönlicher Kommentar an den/die LV-Leiter:,"vielleicht die Veranstaltung im Semester früher (erstes Drittel) abhalten, damit es zum Semesterende zu keiner Verdichtung von Prüfungen kommt.",de,neutral,-0.03892294503748417
,,unknown,not analyzed,
Ihr persönlicher Kommentar an den/die LV-Leiter:,Ich empfand die LV insgesamt als sehr positiv. Ich habe die LV gerne besucht und empfand beide LV-Leiter als freundlich und kompetent. Sie haben beide die Theorie und Praxisbeispiele gut vermittelt und es war immer Interaktion da. ,de,positive,0.9995328112563584
Ihr persönlicher Kommentar an den/die LV-Leiter:,"Mir gefällt es immer sehr gut wenn man nicht nur Lehrstoff vorgetragen bekommt wie es theoretisch ist, sondern eben die Praxis ins ""Klassenzimmer"" gebracht wird!",de,positive,0.9847670970484614
,,unknown,not analyzed,
Ihr persönlicher Kommentar an den/die LV-Leiter:,Beide LV-Leiter sind sehr sympathisch.,de,positive,0.9570878408849239
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Praktischer Teil,de,negative,-0.908034797757864
An der LV hat mir besonders gut gefallen:,Lockerer Vortragestil beider Professoren,de,neutral,-0.009936819784343243
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Arbeiten mit SAP,de,negative,-0.006016552448272705
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Bessere Aufteilung des Kurses/bessere Stundenaufteilung/Kurs auf 6 Tage verteilen, nicht auf 4",de,neutral,-0.00029150872433092445
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Verwendung von Büchern, die man auf der Bibliothek Klagenfurt ausleihen kann ",de,neutral,-0.015180031768977642
An der LV hat mir besonders gut gefallen:,die absprache mit hr. wurzer klappte sehr gut.,de,positive,0.951771792024374
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Die Themenauswahl war sehr gut und man hat immer wieder Fragen stellen können, die einem beantwortet wurden. ",de,positive,0.9989939135848545
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,zwischen der konzeptpräsentation und der endpräsentation gab es kaum termine.,de,neutral,-4.795363111043116e-06
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Ich finde es super, dass man für die Prüfung eine komplette Formelsammung zur Verfügung gestellt bekommt. Und was ich noch nie erlebt habe, dass der Prof. auch noch ein paar Exemplare mit zur Prüfung bringt falls es jmd. nicht geschafft hat diese selbst auszudrucken.",de,positive,0.9702766593545675
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Praxisrelevante Themen, kompetenter LV Leiter,",nl,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Zu viele Themen für eine LV, es wäre besser zwei LVs daraus zu machen.",de,negative,-0.44373661279678345
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Die Beispiele wurden teilweise sehr sporadisch erklärt,de,negative,-0.990056277718395
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Es wurde alles gut erklärt, man konnte jederzeit nachfragen wenn man etwas nicht verstanden hat. Netter Vortragender, gute Atmosphäre",de,positive,0.9988792888470925
An der LV hat mir besonders gut gefallen:,Eigenständiges erarbeiten der Beispiele,de,neutral,-0.0014312422717921436
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Man tut sich teilweise schwer Beispiele zu lösen die man noch nicht kannte da es kein Skript oder Folien gibt,de,neutral,-0.001527626533061266
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Literatur zu manchen Beipielen war schwer zu finden,",de,neutral,-0.0001031523643177934
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Anylogic,cs,not analyzed,
An der LV hat mir besonders gut gefallen:,"Beispiele während dem Kurs, nicht nur Theorie,",de,negative,-0.5853926911950111
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Simulationen,fi,not analyzed,
An der LV hat mir besonders gut gefallen:,"Das Arbeiten mit Anylogic, Themen sehr gut erklärt",de,positive,0.9729001354426146
An der LV hat mir besonders gut gefallen:,"sehr praxisbezogen, interessante Arbeit mit AnyLogic, guter Vortrag des LV Leiters. ",de,positive,0.9840630167163908
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Keine, außer eine weitere LV zur Vertiefung der Kenntnisse",de,neutral,-0.0005375939945224673
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,wäre gut wenn die Folien in derselben Sprache wären wie die Unterrichtssprache ,de,positive,0.5068904310464859
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,die Unterlagen auf deutsch übersetzen.,de,neutral,-0.15376786887645721
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Sehr gut,de,positive,0.9404306039214134
An der LV hat mir besonders gut gefallen:,Blockveranstaltung,sv,not analyzed,
An der LV hat mir besonders gut gefallen:,guter Praxisbezug!,de,positive,0.9827933348715305
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Prüfung sollte bald nach Ende der LV stattfinden.,de,neutral,-1.9282481844129506e-05
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"so lange Blöcke sind sehr anstrengend, vor allem auf Englisch",de,negative,-0.955291610211134
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Mein eigenes Thema,de,negative,-0.8441935628652573
An der LV hat mir besonders gut gefallen:,Die vielen Themeneinblicke,de,positive,0.9369444884359837
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine,fi,not analyzed,
An der LV hat mir besonders gut gefallen:,die praktische Relevanz,de,neutral,0.006035396829247475
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Ich finde das Thema generell sehr interessant.,de,positive,0.9658337440341711
An der LV hat mir besonders gut gefallen:,The course content,en,positive,0.9974571402417496
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Die Blockveranstaltung war sehr lang und die Sprechgeschwindigkeit war viel zu hoch. ,de,negative,-0.9035387597978115
An der LV hat mir besonders gut gefallen:,"I liked a lot that we learned about the QCA. The professor is competent, nice and very fair. Good job",en,positive,0.9996353114984231
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"For the next LV I would recommend, to provide the same reseach question(s) for everybody. This way the groups could analyze the material properly, because regarding this case study it was not really possible to make a proper analysis. The outcomings could be shared and the categories could be defined in class. Therefore the analysis could be more useful too.",en,negative,-0.9976129231508821
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Wonderful teacher, really clear explanation of the topics with simple language so that everybody could understand. Class group work and presentation was really fun making the lecture more dynamic and entertaining. The topics were very interesting.",en,positive,0.9996778658969561
An der LV hat mir besonders gut gefallen:,"The professor was nice and also the exam questions were not too difficult, it was fair! Group work was always fun and interesting. Would have wished for more theory+practical work. Interesting topic!",en,positive,0.9993408094451297
An der LV hat mir besonders gut gefallen:,"case study ""The ThinKing""",en,positive,0.9667086005210876
An der LV hat mir besonders gut gefallen:,"Clear structure and contents of lessons, good examples, practical work (case studies) as well as the teacher''s nice and friendly personality",en,positive,0.9997010968945688
An der LV hat mir besonders gut gefallen:,Life experience of the guest entrepreneur,en,positive,0.9987305403337814
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-lecturer did not take students previous knowledge into consideration,en,negative,-0.9993090231146198
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,There are a LOT mistakes on the slides concerning the grammar but also the vocabulary. From time to time even words with a totally different meaning pop up on the slides (carrier vs. career or contentiousness vs conscientiousness,en,negative,-0.9820831185206771
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"a lot of groupwork during the semester, a paper and an exam is quite a lot to do for Lecture-course I think",en,positive,0.7517410591244698
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"We have been working on the same topic from lecture to lecture. As a consequence we have been listening to the same presentation over and over again. It was boring and felt like wasting time. It would be much better if each group was asked to focus on different subject or topic, maybe then we would have learnt something.",en,negative,-0.9995873868028866
An der LV hat mir besonders gut gefallen:,Der kleine Einblick in die §-Welt.,de,neutral,-0.003700244938954711
An der LV hat mir besonders gut gefallen:,Sehr kompetente Vortragsweise von Frau Dr. Hattenberger!,de,positive,0.7280336245894432
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"LV-Leiterin ist sehr sympathisch, kann gut erklären und es gab Probeklausuren auf Moodle",de,positive,0.9129041023552418
An der LV hat mir besonders gut gefallen:,Gut strukturierte Unterlagen. Frau Hattenberger hat mittels Beispielen den Stoff gut erklärt. Für Fragen und Anregungen war sie stets offen. Eine gelungene Einführung in die vorliegende Thematik.,de,neutral,0.002396343625150621
An der LV hat mir besonders gut gefallen:,"Es war super zum Mitschreiben, da Frau Hattenberger die wichtigen Details immer wiederholt hat. Das Sprachtempo hat auch gut gepasst. Besonders gut haben mir die Beispiele gefallen, durch diese es viel leichter war, den Stoff zu verstehen.Es wurden auch ausreichend Pausen gemacht.",de,positive,0.9989309246884659
An der LV hat mir besonders gut gefallen:,Die Vorleseung hatte eine gute Struktur,de,neutral,-0.004261773661710322
An der LV hat mir besonders gut gefallen:,die Erklärungen des Lehrinhaltes anhand von vielen praktischen Beispielen,de,neutral,-2.7871931251866044e-06
An der LV hat mir besonders gut gefallen:,klare und deutliche Aussprache der Vortragenden sowie verständliches Erklären ,de,neutral,-2.0049867089255713e-05
An der LV hat mir besonders gut gefallen:,- Sehr gute Vortragsweise,de,positive,0.9769293703138828
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,nur den Fragen won Frau Hattenberger,de,neutral,-0.11456198431551456
An der LV hat mir besonders gut gefallen:,"Es wurde versucht den Unterrichtsstoff sehr praxisnahe zu erklären, was ich ganz toll finde!",de,positive,0.8614234328269958
An der LV hat mir besonders gut gefallen:,Recht aus Schule wiederholt,de,positive,0.7551384344696999
An der LV hat mir besonders gut gefallen:,Die Vortragende hat alles genau und verständlich erklärt. Folien waren sehr gut aufgebaut. Fragen wurden immer beantwortet.,de,positive,0.999408110656077
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,vielleicht das Sprachtempo verlangsamen.,de,negative,-0.7928024083375931
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Mehr Beispiele aus der Wirklichkeit,de,neutral,-0.012613499071449041
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Keine!,de,positive,0.8382654935121536
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Keine,de,positive,0.19150447845458984
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,mehr Vorlesungen von Frau Dr. Hattenberger!,de,neutral,-0.03624098561704159
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,- Foliensatz nicht sehr aussagekräftig,de,negative,-0.9827101528644562
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Es dauern sehr viel, und zu langweilig",de,negative,-0.9903391720727086
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Vielleicht manchmal zum Mitschreiben etwas zu schnell, aber passt schon.",de,positive,0.9911327823065221
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,/,unknown,not analyzed,
